,Day 1,Day 2,Day 3,Day 4,Day 5
0,{},{0: sala nr 10 | Jan Nowak | Język polski},{},{},{}
1,{0: sala nr 11 | Katarzyna Mazur | Fizyka},{0: sala nr 7 | Katarzyna Mazur | Fizyka},{},{0: sala nr 5 | Katarzyna Mazur | Fizyka},{}
2,{},{},{},{},{}
3,"{0: sala nr 11 | Lena Kowalska | Język angielski, 1: sala nr 5 | Paweł Lewandowski | Matematyka}",{},{0: sala nr 8 | Piotr Wójcik | Biologia},{},{}
4,"{0: sala nr 1 | Lena Kowalska | Język angielski, 1: sala nr 1 | Piotr Wójcik | Biologia}",{0: sala nr 1 | Dominik Kaczor | Informatyka},{},"{0: sala nr 6 | Paweł Lewandowski | Matematyka, 1: sala nr 10 | Natalia Szymańska | Geografia}",{}
5,{},{0: sala nr 4 | Dominik Kaczor | Informatyka},"{0: sala nr 3 | Zofia Wiśniewska | Wychowanie fizyczne, 1: sala nr 6 | Katarzyna Mazur | Fizyka}",{},{}
6,{},{0: sala nr 11 | Karolina Kamińska | Chemia},{0: sala nr 11 | Dominik Kaczor | Informatyka},{},"{0: sala nr 6 | Karolina Kamińska | Chemia, 1: sala nr 1 | Dominik Kaczor | Informatyka}"
7,{0: sala nr 5 | Mateusz Kowalski | Język niemiecki},{},{},{},{}
8,{},{0: sala nr 11 | Jan Nowak | Język polski},{},{0: sala nr 3 | Paweł Lewandowski | Matematyka},{}
9,{},{},{0: sala nr 5 | Paweł Lewandowski | Matematyka},{},{0: sala nr 8 | Paweł Lewandowski | Matematyka}
10,{},{},{0: sala nr 5 | Mateusz Kowalski | Język niemiecki},{},{0: sala nr 5 | Lena Kowalska | Język angielski}
11,{},{},{},{},{}
12,{},"{0: sala nr 6 | Jan Nowak | Język polski, 1: sala nr 11 | Jan Nowak | Język polski}",{},{0: sala nr 7 | Lena Kowalska | Język angielski},{}
13,{},{},{0: sala nr 10 | Zofia Wiśniewska | Wychowanie fizyczne},{0: sala nr 9 | Dominik Kaczor | Informatyka},"{0: sala nr 6 | Zofia Wiśniewska | Wychowanie fizyczne, 1: sala nr 10 | Natalia Szymańska | Geografia}"
