,Day 1,Day 2,Day 3,Day 4,Day 5
0,{0: sala nr 9 | Lena Kowalska | Język angielski},{0: sala nr 10 | Paweł Lewandowski | Matematyka},{},{},{0: sala nr 1 | Lena Kowalska | Język angielski}
1,{0: sala nr 9 | Dominik Kaczor | Informatyka},{0: sala nr 6 | Dominik Kaczor | Informatyka},{},{},{0: sala nr 3 | Paweł Lewandowski | Matematyka}
2,{0: sala nr 1 | Paweł Lewandowski | Matematyka},{0: sala nr 4 | Mateusz Kowalski | Język niemiecki},{},{},{0: sala nr 2 | Katarzyna Mazur | Fizyka}
3,{0: sala nr 1 | Lena Kowalska | Język angielski},{0: sala nr 1 | Piotr Wójcik | Biologia},{0: sala nr 9 | Paweł Lewandowski | Matematyka},{},{0: sala nr 10 | Karolina Kamińska | Chemia}
4,{0: sala nr 2 | Dominik Kaczor | Informatyka},{},{0: sala nr 8 | Jan Nowak | Język polski},{},{0: sala nr 1 | Natalia Szymańska | Geografia}
5,{},{},{0: sala nr 10 | Katarzyna Mazur | Fizyka},{},{}
6,{},{},{0: sala nr 3 | Zofia Wiśniewska | Wychowanie fizyczne},{},{}
7,{0: sala nr 9 | Mateusz Kowalski | Język niemiecki},{},{},{},{}
8,{0: sala nr 8 | Karolina Kamińska | Chemia},{},{0: sala nr 5 | Lena Kowalska | Język angielski},{},{}
9,{0: sala nr 9 | Katarzyna Mazur | Fizyka},{},{0: sala nr 11 | Jan Nowak | Język polski},{0: sala nr 1 | Dominik Kaczor | Informatyka},{0: sala nr 4 | Zofia Wiśniewska | Wychowanie fizyczne}
10,{},{},{0: sala nr 7 | Jan Nowak | Język polski},{0: sala nr 3 | Natalia Szymańska | Geografia},{0: sala nr 9 | Dominik Kaczor | Informatyka}
11,{},{},{0: sala nr 8 | Piotr Wójcik | Biologia},{0: sala nr 3 | Katarzyna Mazur | Fizyka},{}
12,{0: sala nr 10 | Jan Nowak | Język polski},{},{},{0: sala nr 6 | Zofia Wiśniewska | Wychowanie fizyczne},{}
13,{},{},{},{0: sala nr 8 | Paweł Lewandowski | Matematyka},{}
