,Day 1,Day 2,Day 3,Day 4,Day 5
0,{},{0: sala nr 7 | Piotr Wójcik | Biologia},"{0: sala nr 2 | Jan Nowak | Język polski, 1: sala nr 2 | Jan Nowak | Język polski}",{},"{0: sala nr 7 | Zofia Wiśniewska | Wychowanie fizyczne, 1: sala nr 9 | Paweł Lewandowski | Matematyka}"
1,{0: sala nr 2 | Paweł Lewandowski | Matematyka},{0: sala nr 9 | Lena Kowalska | Język angielski},{0: sala nr 4 | Mateusz Kowalski | Język niemiecki},{},{}
2,{0: sala nr 6 | Dominik Kaczor | Informatyka},{},{0: sala nr 10 | Karolina Kamińska | Chemia},{0: sala nr 4 | Lena Kowalska | Język angielski},{}
3,{0: sala nr 10 | Dominik Kaczor | Informatyka},{},{},{0: sala nr 7 | Zofia Wiśniewska | Wychowanie fizyczne},{}
4,{},{0: sala nr 6 | Lena Kowalska | Język angielski},{},{},{0: sala nr 9 | Natalia Szymańska | Geografia}
5,{0: sala nr 9 | Paweł Lewandowski | Matematyka},{},{},{},{}
6,{},{},{},{},{}
7,{},{0: sala nr 6 | Piotr Wójcik | Biologia},{},"{0: sala nr 11 | Zofia Wiśniewska | Wychowanie fizyczne, 1: sala nr 4 | Paweł Lewandowski | Matematyka}",{}
8,{},{},{},{},{0: sala nr 7 | Dominik Kaczor | Informatyka}
9,{},{0: sala nr 11 | Lena Kowalska | Język angielski},{},{},{0: sala nr 5 | Natalia Szymańska | Geografia}
10,{0: sala nr 2 | Dominik Kaczor | Informatyka},{0: sala nr 4 | Jan Nowak | Język polski},{},{0: sala nr 10 | Paweł Lewandowski | Matematyka},{0: sala nr 9 | Jan Nowak | Język polski}
11,{0: sala nr 7 | Katarzyna Mazur | Fizyka},{},{},{0: sala nr 3 | Dominik Kaczor | Informatyka},{0: sala nr 1 | Katarzyna Mazur | Fizyka}
12,{},{0: sala nr 10 | Mateusz Kowalski | Język niemiecki},{},{},{0: sala nr 3 | Karolina Kamińska | Chemia}
13,"{0: sala nr 4 | Katarzyna Mazur | Fizyka, 1: sala nr 3 | Katarzyna Mazur | Fizyka}",{},{},{},{}
